InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,is_guest,LineRevenue
553979,22557,PLASTERS IN TIN CIRCUS PARADE,5,2011-07-14 11:20:00,2.89,17738,United Kingdom,0,14.450000000000001
546954,22551,PLASTERS IN TIN WOODLAND ANIMALS,14,2010-01-11 10:44:00,3.52,18719,United Kingdom,0,49.28
545264,23166,MEDIUM CERAMIC TOP STORAGE JAR,19,2010-08-27 13:28:00,5.35,14031,United Kingdom,0,101.64999999999999
538620,22632,HAND WARMER RED POLKA DOT,33,2011-01-22 16:14:00,4.13,13051,United Kingdom,0,136.29
540479,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-03-07 16:44:00,2.14,19550,United Kingdom,0,14.98
551611,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2010-01-24 17:04:00,2.54,18949,United Kingdom,0,17.78
540246,23343,JUMBO BAG OWLS,42,2010-12-06 11:35:00,3.17,13733,United Kingdom,0,133.14
544310,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-08-28 12:52:00,2.02,16959,United Kingdom,0,8.08
546454,22386,JUMBO BAG PINK POLKADOT,11,2010-03-11 12:01:00,4.34,18467,United Kingdom,0,47.739999999999995
544146,85123B,IVORY HANGING HEART T-LIGHT HOLDER,7,2010-10-24 12:24:00,3.65,16227,United Kingdom,0,25.55
543179,47566B,TEA TIME PARTY BUNTING,5,2011-02-11 12:47:00,5.96,18984,EIRE,0,29.8
549738,20727,LUNCH BAG  BLACK SKULL,11,2011-01-22 13:30:00,2.55,13240,United Kingdom,0,28.049999999999997
557414,21977,PACK OF 60 DINOSAUR CAKE CASES,120,2011-06-26 09:00:00,1.01,13766,United Kingdom,0,121.2
542621,22386,JUMBO BAG PINK POLKADOT,5,2011-09-22 10:11:00,5.04,18100,United Kingdom,0,25.2
552139,71053,WHITE METAL LANTERN,1,2011-12-29 13:51:00,5.35,18571,United Kingdom,0,5.35
537764,47566,PARTY BUNTING,27,2010-11-12 13:24:00,6.89,13193,United Kingdom,0,186.03
537537,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2011-07-29 15:37:00,3.66,12878,United Kingdom,0,62.22
547399,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2010-02-09 15:58:00,3.47,19265,United Kingdom,0,3.47
537469,22633,HAND WARMER UNION JACK,4,2010-03-31 16:19:00,3.41,15088,United Kingdom,0,13.64
557028,21977,PACK OF 60 DINOSAUR CAKE CASES,31,2011-08-18 13:15:00,0.98,13050,United Kingdom,0,30.38
536807,22386,JUMBO BAG PINK POLKADOT,3,2011-03-31 14:33:00,2.73,16671,United Kingdom,0,8.19
540604,21212,PACK OF 72 RETROSPOT CAKE CASES,23,2011-02-13 16:15:00,1.39,14152,United Kingdom,0,31.97
549115,47566B,TEA TIME PARTY BUNTING,5,2011-12-02 17:03:00,6.56,19269,United Kingdom,0,32.8
537740,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-01-17 10:20:00,17.45,12880,United Kingdom,0,52.349999999999994
541146,21212,PACK OF 72 RETROSPOT CAKE CASES,5,2010-11-20 13:05:00,1.54,17067,EIRE,0,7.7
551544,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2010-08-04 10:35:00,7.43,18769,United Kingdom,0,22.29
557602,23166,MEDIUM CERAMIC TOP STORAGE JAR,4,2011-12-05 11:23:00,3.65,13162,United Kingdom,0,14.6
554036,71053,WHITE METAL LANTERN,11,2011-11-07 15:32:00,3.68,18361,United Kingdom,0,40.480000000000004
553070,47566B,TEA TIME PARTY BUNTING,7,2010-02-19 17:02:00,5.83,15299,United Kingdom,0,40.81
558244,47566B,TEA TIME PARTY BUNTING,13,2011-03-03 18:37:00,5.67,13725,United Kingdom,0,73.71
