InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
553979,22557,PLASTERS IN TIN CIRCUS PARADE,5,2011-07-14 11:20:00,2.89,17738.0,United Kingdom
546954,22551,PLASTERS IN TIN WOODLAND ANIMALS,14,2010-01-11 10:44:00,3.52,18719.0,United Kingdom
545264,23166,MEDIUM CERAMIC TOP STORAGE JAR,19,2010-08-27 13:28:00,5.35,14031.0,United Kingdom
538620,22632,HAND WARMER RED POLKA DOT,33,2011-01-22 16:14:00,4.13,13051.0,United Kingdom
540479,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-03-07 16:44:00,2.14,19550.0,United Kingdom
551611,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2010-01-24 17:04:00,2.54,18949.0,United Kingdom
540246,23343,JUMBO BAG OWLS,42,2010-12-06 11:35:00,3.17,13733.0,United Kingdom
544310,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-08-28 12:52:00,2.02,16959.0,United Kingdom
546454,22386,JUMBO BAG PINK POLKADOT,11,2010-03-11 12:01:00,4.34,18467.0,United Kingdom
544146,85123B,IVORY HANGING HEART T-LIGHT HOLDER,7,2010-10-24 12:24:00,3.65,16227.0,United Kingdom
543179,47566B,TEA TIME PARTY BUNTING,5,2011-02-11 12:47:00,5.96,18984.0,EIRE
549738,20727,LUNCH BAG  BLACK SKULL,11,2011-01-22 13:30:00,2.55,13240.0,United Kingdom
557414,21977,PACK OF 60 DINOSAUR CAKE CASES,120,2011-06-26 09:00:00,1.01,13766.0,United Kingdom
542621,22386,JUMBO BAG PINK POLKADOT,5,2011-09-22 10:11:00,5.04,18100.0,United Kingdom
552139,71053,WHITE METAL LANTERN,1,2011-12-29 13:51:00,5.35,18571.0,United Kingdom
537764,47566,PARTY BUNTING,27,2010-11-12 13:24:00,6.89,13193.0,United Kingdom
537537,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2011-07-29 15:37:00,3.66,12878.0,United Kingdom
547399,21232,,1,2010-02-09 15:58:00,3.47,19265.0,United Kingdom
537469,22633,HAND WARMER UNION JACK,4,2010-03-31 16:19:00,3.41,15088.0,United Kingdom
557028,21977,PACK OF 60 DINOSAUR CAKE CASES,31,2011-08-18 13:15:00,0.98,13050.0,United Kingdom
536807,22386,JUMBO BAG PINK POLKADOT,3,2011-03-31 14:33:00,2.73,16671.0,United Kingdom
540604,21212,PACK OF 72 RETROSPOT CAKE CASES,23,2011-02-13 16:15:00,1.39,14152.0,United Kingdom
549115,47566B,TEA TIME PARTY BUNTING,5,2011-12-02 17:03:00,6.56,19269.0,United Kingdom
537740,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-01-17 10:20:00,17.45,12880.0,United Kingdom
541146,21212,PACK OF 72 RETROSPOT CAKE CASES,5,2010-11-20 13:05:00,1.54,17067.0,EIRE
551544,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2010-08-04 10:35:00,7.43,18769.0,United Kingdom
555233,22554,PLASTERS IN TIN SKULLS,5,2010-12-09 17:01:00,3.52,,United Kingdom
557602,23166,MEDIUM CERAMIC TOP STORAGE JAR,4,2011-12-05 11:23:00,3.65,13162.0,United Kingdom
554036,71053,WHITE METAL LANTERN,11,2011-11-07 15:32:00,3.68,18361.0,United Kingdom
553070,47566B,TEA TIME PARTY BUNTING,7,2010-02-19 17:02:00,5.83,15299.0,United Kingdom
558244,47566B,TEA TIME PARTY BUNTING,13,2011-03-03 18:37:00,5.67,13725.0,United Kingdom
551902,23343,JUMBO BAG OWLS,4,2010-03-30 10:09:00,2.06,14131.0,United Kingdom
552728,85099B,JUMBO BAG RED RETROSPOT,16,2011-03-13 15:13:00,4.18,16411.0,United Kingdom
552912,21977,PACK OF 60 DINOSAUR CAKE CASES,29,2011-12-15 15:45:00,0.89,14603.0,United Kingdom
537749,23166,MEDIUM CERAMIC TOP STORAGE JAR,4,2011-12-06 15:17:00,3.25,19884.0,United Kingdom
550190,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2010-05-07 13:10:00,1.12,12560.0,United Kingdom
547350,85099C,JUMBO  BAG BAROQUE BLACK WHITE,16,2010-10-22 09:03:00,2.87,19829.0,United Kingdom
541722,22633,HAND WARMER UNION JACK,16,2011-08-06 13:23:00,1.97,18151.0,United Kingdom
549745,85099C,JUMBO  BAG BAROQUE BLACK WHITE,9,2010-11-23 15:06:00,3.71,18893.0,Germany
551215,21232,STRAWBERRY CERAMIC TRINKET BOX,11,2011-05-12 16:21:00,3.22,13949.0,United Kingdom
C543943,22557,PLASTERS IN TIN CIRCUS PARADE,-29,2010-01-09 10:14:00,2.34,19771.0,United Kingdom
551533,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2010-09-21 11:59:00,1.87,16427.0,United Kingdom
538106,22469,HEART OF WICKER SMALL,14,2011-10-18 18:55:00,2.5,15633.0,United Kingdom
548492,23166,MEDIUM CERAMIC TOP STORAGE JAR,9,2011-01-23 09:53:00,4.73,12767.0,Netherlands
556050,22423,REGENCY CAKESTAND 3 TIER,3,2010-01-07 12:40:00,13.68,14198.0,United Kingdom
544732,71053,WHITE METAL LANTERN,9,2011-07-11 13:57:00,5.59,19421.0,United Kingdom
537091,22554,PLASTERS IN TIN SKULLS,18,2010-07-04 09:23:00,2.28,13785.0,United Kingdom
537302,23166,MEDIUM CERAMIC TOP STORAGE JAR,3,2010-02-01 13:33:00,5.89,14184.0,United Kingdom
544719,21232,STRAWBERRY CERAMIC TRINKET BOX,2,2010-12-25 09:58:00,4.89,12546.0,United Kingdom
544318,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-09-20 18:51:00,2.7,12544.0,United Kingdom
556575,85099B,JUMBO BAG RED RETROSPOT,3,2011-02-26 13:21:00,3.43,19920.0,United Kingdom
539337,POST,POSTAGE,4,2011-11-19 10:47:00,4.37,,United Kingdom
557651,22386,JUMBO BAG PINK POLKADOT,6,2010-04-19 09:15:00,2.1,18807.0,Belgium
554318,85123B,IVORY HANGING HEART T-LIGHT HOLDER,5,2011-09-11 12:50:00,2.91,14579.0,United Kingdom
554833,85123B,,5,2010-02-15 11:15:00,3.88,,United Kingdom
553311,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-06-14 16:58:00,2.33,13163.0,United Kingdom
542917,22386,JUMBO BAG PINK POLKADOT,5,2011-07-19 11:43:00,2.11,15855.0,United Kingdom
558023,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-01-10 10:25:00,4.02,18495.0,United Kingdom
553238,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2011-02-05 18:25:00,3.66,15600.0,United Kingdom
538624,POST,POSTAGE,9,2010-01-15 13:23:00,28.82,18568.0,United Kingdom
537950,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,2011-01-30 17:31:00,4.61,18020.0,United Kingdom
545280,23166,MEDIUM CERAMIC TOP STORAGE JAR,12,2011-10-16 12:16:00,3.77,18799.0,United Kingdom
549935,22470,HEART OF WICKER LARGE,12,2011-11-04 11:17:00,7.24,12350.0,United Kingdom
553564,22554,PLASTERS IN TIN SKULLS,3,2010-12-08 09:05:00,2.33,15076.0,United Kingdom
557087,47566,PARTY BUNTING,6,2010-10-01 13:18:00,9.74,19210.0,United Kingdom
551490,22554B,PLASTERS IN TIN VINTAGE STAR,19,2011-11-22 15:54:00,2.78,18562.0,United Kingdom
543931,22470,HEART OF WICKER LARGE,33,2011-01-27 12:54:00,4.95,,United Kingdom
553640,22557,PLASTERS IN TIN CIRCUS PARADE,215,2010-11-23 14:47:00,4.01,16155.0,United Kingdom
552052,22752,SET 7 BABUSHKA NESTING BOXES,7,2011-03-02 14:34:00,8.08,13340.0,United Kingdom
553511,23343,JUMBO BAG OWLS,2,2010-01-20 15:53:00,3.9,14316.0,United Kingdom
536594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-11-27 16:10:00,2.77,14202.0,Belgium
549284,47566B,TEA TIME PARTY BUNTING,5,2010-02-01 17:50:00,6.57,19416.0,United Kingdom
549100,23343,JUMBO BAG OWLS,9,2010-12-29 14:00:00,3.63,16488.0,United Kingdom
549053,21977,PACK OF 60 DINOSAUR CAKE CASES,15,2010-07-29 14:29:00,1.64,16381.0,United Kingdom
550287,20727,LUNCH BAG  BLACK SKULL,6,2011-02-04 11:48:00,4.21,19273.0,EIRE
548186,84406B,CREAM CUPID HEARTS COAT HANGER,8,2011-11-15 16:24:00,2.85,16457.0,United Kingdom
558265,21232,STRAWBERRY CERAMIC TRINKET BOX,2,2011-01-27 14:54:00,2.3,14846.0,EIRE
542330,22470,HEART OF WICKER LARGE,7,2010-01-31 13:43:00,5.36,15362.0,United Kingdom
552756,20727,LUNCH BAG  BLACK SKULL,12,2010-11-08 12:21:00,1.75,19938.0,United Kingdom
547182,22469,HEART OF WICKER SMALL,11,2010-02-04 12:35:00,3.96,17374.0,United Kingdom
554820,85099C,JUMBO  BAG BAROQUE BLACK WHITE,16,2010-01-21 09:36:00,2.85,13615.0,United Kingdom
557508,71053,WHITE METAL LANTERN,7,2010-01-28 16:08:00,4.77,18815.0,United Kingdom
541282,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-05-25 11:21:00,2.78,15306.0,United Kingdom
544818,POST,POSTAGE,9,2010-12-24 16:05:00,2.48,19518.0,USA
555976,22386,JUMBO BAG PINK POLKADOT,2,2010-01-29 09:03:00,4.17,,Finland
556300,22554B,PLASTERS IN TIN VINTAGE STAR,14,2011-03-23 12:48:00,3.0,18654.0,United Kingdom
539344,22386,JUMBO BAG PINK POLKADOT,2,2011-09-02 17:25:00,2.71,13031.0,United Kingdom
537721,22752,SET 7 BABUSHKA NESTING BOXES,46,2011-03-13 12:36:00,12.44,18037.0,United Kingdom
547370,23343,JUMBO BAG OWLS,3,2010-01-15 11:18:00,3.44,16620.0,United Kingdom
550933,22554B,PLASTERS IN TIN VINTAGE STAR,4,2010-12-13 13:28:00,3.99,12409.0,United Kingdom
547616,21212,PACK OF 72 RETROSPOT CAKE CASES,28,2010-11-13 12:36:00,0.67,17206.0,Switzerland
553055,71053,WHITE METAL LANTERN,5,2010-07-28 16:14:00,5.21,15965.0,United Kingdom
538808,20727,LUNCH BAG  BLACK SKULL,9,2011-01-15 12:57:00,4.86,16559.0,Germany
538846,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2010-10-24 15:16:00,1.36,13721.0,United Kingdom
550343,M,Manual,16,2010-06-04 12:22:00,47.17,19834.0,Switzerland
557667,22470,HEART OF WICKER LARGE,6,2010-11-28 12:35:00,5.62,12871.0,United Kingdom
543899,22551,PLASTERS IN TIN WOODLAND ANIMALS,1,2011-11-22 13:28:00,3.55,14076.0,United Kingdom
555908,71053,WHITE METAL LANTERN,39,2011-11-05 13:30:00,5.32,19514.0,United Kingdom
C556761,22386,JUMBO BAG PINK POLKADOT,-40,2010-11-01 09:38:00,3.67,18284.0,United Kingdom
545641,71053,WHITE METAL LANTERN,6,2011-02-16 14:51:00,6.23,,United Kingdom
